source,target,weight,PMID
Nfic,Crebbp,1,10066764
Nfic,Src,1,10066764
Nfic,Gal,1,10066764
Nfic,Nfic,1,10066764;10762365;23407945
Rbpj,Myod1,-1,10066785;10079231;12050162
Rbpj,Hes1,1,10066785;10205173;10520600;10933396;11120788;11866432;12814948;17611704;21311046;22718343;7566092;9819428
Hes1,Hes1,1,10066785;12682059;14722248;15110721;15536134;16916793;18852286;19109490;19124651;19321451;21205878;22167192;22172337;23267012;23990620;24185616;9570134
Atf2,Ccnd1,1,10066798;10464245;10500157;10915780;11410592;11739785;11850817;15314161;15691880;16405968;9990041
Jun,Ccnd1,1,10066798;10500157;10567390;10790372;11402335;11410592;11432833;11745411;12794082;14672732;15282324;15467760;15574422;15574764;15994313;16393119;16860316;17166846;17278098;17477349;17496887;17501623;17637753;17670745;18084253;19435822;19499154;19622016;20037604;20220142;20482821;21135252;21474819;22550166;22853846;24190040;8917510;9878062
Fos,Mapk14,1,10067858
Gata4,Inha,1,10067876;12533404;16720723
Gata4,Gata4,1,10067876;17098826;17207921;18387357;18591257;19276186;20384792;21059997;21084315;21376121;22174950;23239811
Gata4,Gata6,1,14988427;15659482;18816845
Gata6,Gata4,1,10067876;14666170;14715527;14988427;21878320
E2f3,Rbl1,1,10068462
Nfatc2,Il4,1,10069428;10772943;10894164;11687571;11781715;11956291;12218118;12355451;12594266;15048722;15539155;15684054;17645498;18217957;18962896;19915002;21799768;22226971;23612709;25037220;7989759;8284217;8524816;8668213;9133600;9310836;9430230;9845517;9916709
Hnf4a,Gucy2c,1,10070050
Rxrg,Sftpb,1,10070102;9700083
Rara,Sftpb,1,10070102;10617585;11274148;15044588
Jun,Cdkn1a,1,10072388;10506225;10733944;11136975;12054510;12717415;18094076;18210215;19628677;21278055
Tp53,Jun,1,10427119;18604200;8706975
Jun,Tp53,-1,10072388;10348347;12963547;17321721;18604200;20697347;22353755;22859294
Tp53,Tp53,1,10072388;10082513;10082525;10097112;10101797;10206959;10207030;10207051;10208414;10213232;10233872;10340750;10400708;10505791;10516715;10557083;10559267;10602486;10602522;10606233;10606650;10698502;10747965;10753945;10890910;10969820;10980602;10990460;11007955;11032029;11072234;11127813;11158615;11169742;11175333;11259619;11313982;11375890;11375983;11382762;11382926;11423978;11429705;11481488;11557753;11591730;11675005;11714700;11781835;11791186;11798189;11807984;11852084;11871818;12024039;12080472;12164786;12170778;12217864;12372430;12374798;12402042;12431761;12433990;12444079;12692266;12748190;12750563;12824528;12918060;12925527;12942774;12944915;14520699;14610316;1465435;14710355;14712090;14722112;14743206;14985507;14990988;15019163;15024021;15044452;15077179;15153330;15242522;15289308;15489892;15496412;15509808;15540784;15548589;15574328;15734740;15798209;15860260;15908423;16107692;16158047;16230375;16244670;16301995;16343438;16462765;16479015;16492744;16557594;16636674;16642213;16738310;16828711;16849542;16855375;16929179;16990849;17072342;17186020;17245118;17264218;17317671;17344317;17377493;17442733;17513613;17533371;17555406;17569660;17634135;17685229;17762884;17805299;17845721;17878219;17909016;17942917;17942928;17993233;18022393;18053811;18303029;18336191;18374905;18377871;18419600;18505928;18555750;18556654;18632613;18698017;18922183;19015127;19037090;19075931;19086036;19107228;19124064;19135161;19147532;19204115;19229245;19244234;19357269;19465063;19558368;19580521;19602589;19638633;19718706;19776115;19776742;19837670;19882681;19930465;20093361;20124454;20139776;20167600;20185821;20190809;20197393;20198350;20225156;20331637;20428765;20505327;20569441;20576604;20588255;20607720;20647772;20659896;20689555;20797428;20805247;20886113;21042410;21042757;21071137;21285512;21348943;21552926;21556530;21617703;21655924;21862876;21887328;21914463;21924287;21941086;22032922;22074401;22075982;22178888;22203497;22266186;22266808;22266868;22391568;22427654;22445862;22498492;22532570;22576012;22611192;22777360;22787161;22796152;22805162;22862424;23035104;23100276;23148227;23165212;23178494;23291986;23967302;23982177;23995788;24040083;24134839;24183724;24231352;24330748;24333671;24696455;24737129;24788519;24799195;24802395;7478511;7494329;7556087;7623839;7651818;7684498;7700629;7824283;7969121;7995520;8051093;8090749;8117626;8242752;8247532;8247545;8299938;8382357;8388491;8405994;8514746;8521821;8570655;8630996;8645424;8647846;8695156;8756654;8892752;8892753;8932384;9105415;9191059;9242687;9268733;9315650;9343394;9449526;9649502;9677410;9707425;9724739;9774662;9839551;9841917;9844738;9858609;9890939;9926927
Stat3,Prf1,1,10072525
Dbp,Jtb,1,10073576
Hlf,Jtb,1,10073576
Hlf,F8,1,10073576
Pparg,Serpine2,1,10073956
Pparg,Serpine1,-1,10073956;10329404;11230363;14581151;15990085;16843437;17906687;17995524;18278065
Max,Pdlim7,-1,10074148;17546492
Usf2,Pdlim7,1,10074148
Irf1,Samhd1,1,10075021;10570299;11703094;11781315;12232043;12429737;12474233;16413538;18546154;20510882;20631312;21345967;23659673;7814871;9164960;9548487
Irf2,Samhd1,1,10075021;11058120;18281489
Irf1,Ifng,1,10075021;10334391;10404391;10454342;10714548;10926836;11564890;11777545;12052885;12429737;12479817;12493643;12517966;12781715;13678429;1374362;14735146;14993214;15860458;16135520;16824573;16931033;17018642;17036321;17293456;19929594;20400850;20861350;23419754;23811275;7509445;7823961;9164960;9193655;9491997
Irf1,Nos2,1,10075021;10356322;10852612;10882409;11042347;11325839;11399519;12429737;12902503;16140971;16284791;17723228;19281374;19628072;20510882;23419754;7520478;9305901;9307029
Irf2,Nos2,-1,10075021
Sp1,Faslg,1,10075666;10671224;10754388;11053446;11254710;11745351;11970950;12655294;14563113;15004200;15173177;15659839;17192273;18293083;20617570
Sp3,Faslg,1,10075666
Ar,Prkaca,1,10075669;12933667;15691881;9886819
Ar,Klk1b26,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
